company,adjusted,code,industry,type,area,总人口,财政总收入,人均财政收入,地区编号
b4a2da9a4905983d2d0be652de746a0f2f7572e45c838c0f240a98f0,b4a2da9a4905983d2d0be652de746a0f2f7572e45c838c0f240a98f0,957,65,E,城区,966304,344290,3562,1
7b40f90ee8db7d116aead74a194113ec941f9fb8eb37db39ea563298,7b40f90ee8db7d116aead74a194113ec941f9fb8eb37db39ea563298,958,52,E,城区,966304,344290,3562,1
ac36e610652d61c7199c26d7730350cff1b486b020d56ca51c5ae451,ac36e610652d61c7199c26d7730350cff1b486b020d56ca51c5ae451,959,18,E,大陈,71817,16992,2366,9
8c1d0f63e4cb876d034e9e16e2b1b4e864500382dcc62a5b44fd688b,8c1d0f63e4cb876d034e9e16e2b1b4e864500382dcc62a5b44fd688b,960,18,E,大陈,71817,16992,2366,9
1f34c2148c667f9c4f86350e514e31d9572e010078cb169505be46dd,1f34c2148c667f9c4f86350e514e31d9572e010078cb169505be46dd,961,17,E,后宅,125147,15308,1223,2
7b4657f038e1eafa2270579abcd56e6b58df9686eb8bc0471479bc87,7b4657f038e1eafa2270579abcd56e6b58df9686eb8bc0471479bc87,962,81,E,城区,966304,344290,3562,1
4c2429ec8d932ed5522a0517c7839fe96edb88be7ceba1e1e2d9c2d0,4c2429ec8d932ed5522a0517c7839fe96edb88be7ceba1e1e2d9c2d0,963,28,E,佛堂,172382,45347,2630,3
a1f5b442f0b6dbe10cc33e8d569e684246b837c86173235b80a75619,a1f5b442f0b6dbe10cc33e8d569e684246b837c86173235b80a75619,964,24,E,苏溪,74950,16888,2253,8
45e5134677b3c508be7a01850c00464f575016303f0c08f3a23e7cef,45e5134677b3c508be7a01850c00464f575016303f0c08f3a23e7cef,965,72,E,城区,966304,344290,3562,1
242b2840690e028a9957982c973c8d7943e5fda98dc4b911be8fe233,242b2840690e028a9957982c973c8d7943e5fda98dc4b911be8fe233,966,72,E,城区,966304,344290,3562,1
8a447ac774eb98052b7cbbba92bd89861994a4fb78aae2da5fb90168,8a447ac774eb98052b7cbbba92bd89861994a4fb78aae2da5fb90168,967,18,E,城区,966304,344290,3562,1
56ae3168498aa94b83168c24ed21873e70b7325df2245c9c64c6a7a3,56ae3168498aa94b83168c24ed21873e70b7325df2245c9c64c6a7a3,968,24,E,上溪,83558,17358,2077,7
a28fb0d05dc835b916ab2d6e160ea85c00ade43031d107a839ba17d1,a28fb0d05dc835b916ab2d6e160ea85c00ade43031d107a839ba17d1,969,24,E,城区,966304,344290,3562,1
